State Code,GEOID,County,State,Name
AK,2010,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
AK,2201,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
AK,2231,Skagway Municipality,Alaska,"Skagway Municipality, Alaska"
AK,2232,Skagway Municipality,Alaska,"Skagway Municipality, Alaska"
AK,2261,Chugach Census Area,Alaska,"Chugach Census Area, Alaska"
AK,2270,Kusilvak Census Area,Alaska,"Kusilvak Census Area, Alaska"
AK,2280,Wrangell City and Borough,Alaska,"Wrangell City and Borough, Alaska"
CT,9001,Western Connecticut Planning Region,Connecticut,"Western Connecticut Planning Region, Connecticut"
CT,9003,Capitol Planning Region,Connecticut,"Capitol Planning Region, Connecticut"
CT,9005,Northwest Hills Planning Region,Connecticut,"Northwest Hills Planning Region, Connecticut"
CT,9007,Lower Connecticut River Valley Planning Region,Connecticut,"Lower Connecticut River Valley Planning Region, Connecticut"
CT,9009,South Central Connecticut Planning Region,Connecticut,"South Central Connecticut Planning Region, Connecticut"
CT,9011,Southeastern Connecticut Planning Region,Connecticut,"Southeastern Connecticut Planning Region, Connecticut"
CT,9013,Capitol Planning Region,Connecticut,"Capitol Planning Region, Connecticut"
CT,9015,Northeastern Connecticut Planning Region,Connecticut,"Northeastern Connecticut Planning Region, Connecticut"
FL,12025,Miami-Dade County,Florida,"Miami-Dade County, Florida"
MT,30113,Yellowstone County,Montana,"Yellowstone County, Montana"
SD,46113,Oglala Lakota County,South Dakota,"Oglala Lakota County, South Dakota"
VA,51515,Bedford County,Virginia,"Bedford County, Virginia"
VA,51560,Alleghany County,Virginia,"Alleghany County, Virginia"
VA,51780,Halifax County,Virginia,"Halifax County, Virginia"
