SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
40,3,6,1,0,Alabama,Alabama,5024356,5031362,5049846,5074296,7006,18484,24450,13867,57112,58280,15165,69056,66870,-1298,-11944,-8590,127,1805,4597,9042,27704,28609,9169,29509,33206,-865,919,-166,127918,131155,134475,141319,11.33038818,11.51307439,13.69994548,13.21000832,-2.369557299,-1.696933923,0.358092006,0.908126338,5.496166729,5.651639418,5.854258736,6.559765756
50,3,6,1,1,Alabama,Autauga County,58802,58902,59210,59759,100,308,549,162,694,709,177,682,673,-15,12,36,0,15,27,99,240,508,99,255,535,16,41,-22,478,478,478,478,11.75155784,11.91907136,11.54836088,11.31387168,0.203196966,0.605199674,0.253996207,0.453899755,4.063939312,8.540039842,4.317935519,8.993939598
50,3,6,1,3,Alabama,Baldwin County,231761,233219,239361,246435,1458,6142,7074,560,2367,2411,593,3044,2909,-33,-677,-498,11,105,315,1592,6969,6982,1603,7074,7297,-112,-255,275,3546,3450,3360,3369,10.01735156,9.925977159,12.88247493,11.97622047,-2.865123365,-2.050243312,0.444369207,1.296840649,29.4934191,28.74457591,29.93778831,30.04141656
50,3,6,1,5,Alabama,Barbour County,25224,24960,24539,24706,-264,-421,167,60,276,277,93,383,372,-33,-107,-95,0,0,4,-195,-308,243,-195,-308,247,-36,-6,15,2716,2475,2244,2701,11.15174044,11.24987308,15.4750601,15.10813281,-4.323319663,-3.858259722,0,0.162453041,-12.44469585,9.869022236,-12.44469585,10.03147528
50,3,6,1,7,Alabama,Bibb County,22300,22183,22370,22005,-117,187,-365,56,244,248,55,318,321,1,-74,-73,0,1,2,-107,259,-301,-107,260,-299,-11,1,7,2147,2063,2002,2033,10.9532467,11.17746479,14.27513299,14.46760563,-3.321886293,-3.290140845,0.044890355,0.090140845,11.62660203,-13.56619718,11.67149238,-13.47605634
50,3,6,1,9,Alabama,Blount County,59130,59102,59085,59512,-28,-17,427,137,656,674,201,865,844,-64,-209,-170,1,9,14,21,140,592,22,149,606,14,43,-9,616,616,616,616,11.10105172,11.36622343,14.63781973,14.23307504,-3.536768003,-2.866851607,0.152301015,0.236093662,2.369126892,9.983389125,2.521427907,10.21948279
50,3,6,1,11,Alabama,Bullock County,10362,10296,10280,10202,-66,-16,-78,24,110,112,40,150,149,-16,-40,-37,0,1,1,-44,18,-39,-44,19,-38,-6,5,-3,1706,1696,1704,1702,10.69206843,10.93643199,14.58009331,14.54936041,-3.888024883,-3.612928425,0.097200622,0.097646714,1.749611198,-3.808221853,1.84681182,-3.710575139
50,3,6,1,13,Alabama,Butler County,19055,19031,18855,18650,-24,-176,-205,47,219,222,88,331,317,-41,-112,-95,0,5,11,15,-75,-116,15,-70,-105,2,6,-5,288,288,288,288,11.56099879,11.83842154,17.47347305,16.90441275,-5.912474265,-5.065991201,0.263949744,0.586588455,-3.95924616,-6.185841888,-3.695296416,-5.599253433
50,3,6,1,15,Alabama,Calhoun County,116444,116239,115677,115788,-205,-562,111,305,1276,1303,396,1868,1832,-91,-592,-529,0,12,35,-119,-68,637,-119,-56,672,5,86,-32,5631,5554,5410,5752,11.0039842,11.25872162,16.10928095,15.82960707,-5.105296745,-4.570885447,0.103485745,0.302421532,-0.586419221,5.50407189,-0.482933476,5.806493422
50,3,6,1,17,Alabama,Chambers County,34774,34645,34446,34088,-129,-199,-358,87,381,391,169,612,589,-82,-231,-198,2,22,53,-54,-10,-208,-52,12,-155,5,20,-5,860,856,848,850,11.02893286,11.41039484,17.71576616,17.18854875,-6.686833307,-5.778153909,0.636841267,1.546677562,-0.289473303,-6.069979864,0.347367964,-4.523302303
