"fips","state_fips","county_fips","areaname","state_name","county_name","fipsst","fipsco","region","division","pop1970","pop1971","pop1972","pop1973","pop1974","pop1975","pop1976","pop1977","pop1978","pop1979","pop1980","pop1981","pop1982","pop1983","pop1984","pop1985","pop1986","pop1987","pop1988","pop1989","pop1990","pop1991","pop1992","pop1993","pop1994","pop1995","pop1996","pop1997","pop1998","pop1999","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop19904","pop20104","base20104","pop2010","pop2011","pop2012","pop2013","pop2014"
"00000",0,0,"United States","United States","United States","00","000",,,203302037,206826000,209283000,211356000,213341000,215464000,217562000,219759000,222095000,224567000,226542250,229465744,231664432,233792014,235824908,237923734,240132831,242288936,244499004,246819222,249464396,252153092,255029699,257782608,260327021,262803276,265228572,267783607,270248003,272690813,,,,,,,,,,,248790925,,,,,,,
"01000",1,0,"Alabama","Alabama","Alabama","01","000",3,6,3444354,3497000,3540000,3581000,3628000,3680000,3737000,3783000,3834000,3869000,3894025,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4048508,4091025,4139269,4193114,4232965,4262731,4290403,4320281,4351037,4369862,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,4040389,,,,,,,
"01001",1,1,"Autauga County","Alabama","Autauga County","01","001",3,6,24460,25500,27200,28500,29300,29700,29900,30500,30900,32100,32259,31985,32036,32054,32134,32245,32893,33268,33636,33996,34356,35018,36002,36976,38218,39154,40251,41293,42193,43140,43872,44434,45157,45762,46933,47870,49105,49834,50354,50756,34222,,,,,,,
"01001",1,1001,"Autauga County, Alabama"," Alabama","Autauga County","01","01001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54571,54571,54684,55275,55192,55136,55395
"01003",1,3,"Baldwin County","Alabama","Baldwin County","01","003",3,6,59382,60100,62400,64200,66100,67900,70200,72400,74500,76600,78556,80287,82331,83978,86752,89401,91311,93214,94649,96198,98921,102229,106228,110873,115834,119962,124261,128770,132857,135820,141358,144988,148141,151707,156573,162564,168516,172815,176212,179878,98280,,,,,,,
"01003",1,1003,"Baldwin County, Alabama"," Alabama","Baldwin County","01","01003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182265,182265,183216,186694,190561,195443,200111
"01005",1,1005,"Barbour County, Alabama"," Alabama","Barbour County","01","01005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27457,27457,27336,27225,27169,26978,26887
"01005",1,5,"Barbour County","Alabama","Barbour County","01","005",3,6,22543,23100,22900,23500,23400,24900,25600,24700,24500,24400,24756,24748,24777,24798,24952,25002,24941,25102,25230,25336,25452,26227,26435,26637,26788,26665,26866,26747,26936,26726,29035,29223,29289,29480,29458,29452,29556,29736,29836,29737,25417,,,,,,,
"01007",1,1007,"Bibb County, Alabama"," Alabama","Bibb County","01","01007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22915,22919,22879,22740,22634,22504,22506
"01007",1,7,"Bibb County","Alabama","Bibb County","01","007",3,6,13812,13900,14100,14700,14400,14800,14800,15300,15400,15600,15723,15836,16020,15999,16089,16157,15918,16165,16136,16360,16675,16956,17191,17447,17643,17988,18256,18639,18987,19601,19936,20942,20983,21037,21208,21375,21285,21485,21589,21587,16598,,,,,,,
"01009",1,9,"Blount County","Alabama","Blount County","01","009",3,6,26853,27800,29300,30400,31500,32200,33000,34200,34800,36000,36459,36641,36355,36428,36790,37417,37995,38017,38250,38771,39410,39868,40230,40992,41363,42586,43544,44897,46292,47411,51181,51999,52775,53726,54469,55035,55978,56866,57794,58345,39248,,,,,,,
"01009",1,1009,"Blount County, Alabama"," Alabama","Blount County","01","01009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57322,57322,57344,57694,57748,57720,57719
"01011",1,1011,"Bullock County, Alabama"," Alabama","Bullock County","01","01011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10914,10915,10886,10623,10589,10605,10764
"01011",1,11,"Bullock County","Alabama","Bullock County","01","011",3,6,11824,11400,11400,11300,11100,11100,11100,11000,11000,10800,10596,10679,10639,10686,10824,10777,10459,10891,11184,11170,11022,11139,11032,11085,11191,11209,11307,11310,11325,11343,11604,11381,11261,11305,11038,10975,10739,10966,10921,10985,11042,,,,,,,
