y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
1,96,AL,AL Total Migration-US and Foreign,46312,85886,2885943
1,97,AL,AL Total Migration-US,45835,84735,2850819
1,98,AL,AL Total Migration-Foreign,477,1151,35124
1,97,AL,AL Total Migration-Same State,65526,126213,3575353
1,1,AL,AL Non-migrants,1617870,3382346,115299520
1,13,GA,Georgia,7762,14323,390923
1,12,FL,Florida,7246,13280,613501
1,47,TN,Tennessee,4296,7759,254097
1,48,TX,Texas,3833,7265,237354
1,28,MS,Mississippi,2606,5020,131251
1,37,NC,North Carolina,1739,3283,111502
1,6,CA,California,1401,2374,87189
1,51,VA,Virginia,1321,2631,88006
1,8,CO,Colorado,1078,1858,70548
1,45,SC,South Carolina,1007,1864,66293
1,22,LA,Louisiana,967,1819,53761
1,39,OH,Ohio,910,1675,46654
1,17,IL,Illinois,833,1414,43819
1,36,NY,New York,753,1272,49115
1,26,MI,Michigan,748,1400,35384
1,21,KY,Kentucky,748,1436,47151
1,18,IN,Indiana,673,1253,32865
1,53,WA,Washington,654,1158,38720
1,29,MO,Missouri,624,1129,31660
1,4,AZ,Arizona,564,1027,32784
1,42,PA,Pennsylvania,563,1007,33061
1,57,FR,Foreign,477,1151,35124
1,24,MD,Maryland,470,877,30287
1,5,AR,Arkansas,467,974,29135
1,40,OK,Oklahoma,395,782,21397
1,20,KS,Kansas,342,720,19974
1,32,NV,Nevada,306,583,39633
1,25,MA,Massachusetts,282,468,17238
1,55,WI,Wisconsin,279,542,13130
1,49,UT,Utah,257,496,19250
1,19,IA,Iowa,256,437,9815
1,34,NJ,New Jersey,232,378,14635
1,27,MN,Minnesota,219,361,11090
1,41,OR,Oregon,215,389,16774
1,35,NM,New Mexico,199,358,16243
1,15,HI,Hawaii,182,440,11272
1,2,AK,Alaska,159,354,9868
1,54,WV,West Virginia,151,306,8753
1,9,CT,Connecticut,132,213,7703
1,11,DC,District Of Columbia,127,167,7966
1,16,ID,Idaho,123,256,6650
1,31,NE,Nebraska,105,228,6534
1,23,ME,Maine,95,191,5653
1,30,MT,Montana,93,182,5475
1,46,SD,South Dakota,85,151,4663
1,38,ND,North Dakota,72,136,3749
1,56,WY,Wyoming,69,125,3662
1,33,NH,New Hampshire,59,109,3984
1,10,DE,Delaware,57,121,5048
1,50,VT,Vermont,41,78,2131
1,44,RI,Rhode Island,40,66,3468
2,96,AK,AK Total Migration-US and Foreign,16506,32245,1117585
2,97,AK,AK Total Migration-US,16160,31543,1097852
2,98,AK,AK Total Migration-Foreign,346,702,19734
2,97,AK,AK Total Migration-Same State,6887,12604,417799
2,2,AK,AK Non-migrants,261362,527600,22099883
2,53,WA,Washington,1700,3029,114380
2,48,TX,Texas,1427,3045,113499
2,6,CA,California,1183,1996,60420
2,12,FL,Florida,973,1942,78488
2,4,AZ,Arizona,943,1704,73354
2,41,OR,Oregon,723,1231,46627
2,8,CO,Colorado,633,1158,40829
2,37,NC,North Carolina,517,1111,34469
2,16,ID,Idaho,483,950,36859
2,13,GA,Georgia,482,1094,27506
2,32,NV,Nevada,414,754,28666
2,51,VA,Virginia,394,890,25679
2,47,TN,Tennessee,348,787,24765
2,57,FR,Foreign,346,702,19734
2,49,UT,Utah,339,703,23051
2,30,MT,Montana,332,617,25924
2,15,HI,Hawaii,313,624,21798
2,26,MI,Michigan,292,605,21900
2,29,MO,Missouri,289,683,18940
2,36,NY,New York,281,469,15656
2,40,OK,Oklahoma,279,643,17670
2,27,MN,Minnesota,258,492,15492
2,1,AL,Alabama,250,550,16589
2,42,PA,Pennsylvania,246,483,15931
2,39,OH,Ohio,242,503,16878
2,45,SC,South Carolina,220,466,13823
2,35,NM,New Mexico,214,393,14999
2,17,IL,Illinois,207,382,13114
2,55,WI,Wisconsin,192,326,11717
2,20,KS,Kansas,166,372,9357
2,22,LA,Louisiana,159,364,10767
2,21,KY,Kentucky,154,340,11606
2,18,IN,Indiana,149,275,10858
2,5,AR,Arkansas,139,277,10047
2,24,MD,Maryland,139,272,9184
2,34,NJ,New Jersey,105,187,5024
2,19,IA,Iowa,104,193,6377
2,25,MA,Massachusetts,99,170,5873
2,56,WY,Wyoming,97,181,3854
2,28,MS,Mississippi,95,202,5489
2,31,NE,Nebraska,88,166,4064
2,46,SD,South Dakota,83,159,5606
2,23,ME,Maine,82,150,5190
2,38,ND,North Dakota,68,137,5708
2,9,CT,Connecticut,48,83,3219
2,33,NH,New Hampshire,48,81,3850
2,54,WV,West Virginia,46,87,2856
2,50,VT,Vermont,36,62,2808
2,10,DE,Delaware,29,73,2014
2,11,DC,District Of Columbia,29,50,4079
2,44,RI,Rhode Island,23,32,997
4,96,AZ,AZ Total Migration-US and Foreign,102848,183341,7713826
4,97,AZ,AZ Total Migration-US,102007,181480,7664780
4,98,AZ,AZ Total Migration-Foreign,841,1861,49046
4,97,AZ,AZ Total Migration-Same State,52429,95177,2834521
4,4,AZ,AZ Non-migrants,2557290,5151958,201684309
4,6,CA,California,15409,25272,1046330
4,48,TX,Texas,9955,19100,808709
4,12,FL,Florida,5469,9754,618934
4,8,CO,Colorado,5347,8881,397647
4,53,WA,Washington,5244,8866,402983
4,32,NV,Nevada,3518,6116,319919
4,41,OR,Oregon,3238,5289,195619
4,49,UT,Utah,3197,6758,223436
4,17,IL,Illinois,3175,5231,238277
4,35,NM,New Mexico,2994,5493,156886
4,37,NC,North Carolina,2620,5120,203567
4,26,MI,Michigan,2488,4356,163291
4,39,OH,Ohio,2265,4012,144709
4,47,TN,Tennessee,2145,4061,196392
4,13,GA,Georgia,2119,4072,162657
4,36,NY,New York,2066,3316,180055
4,27,MN,Minnesota,2030,3397,128586
4,29,MO,Missouri,1932,3715,117287
4,51,VA,Virginia,1898,3502,148499
